hour,ym,count
0,01/01/2013,249
0,01/01/2014,237
0,01/01/2015,243
0,01/01/2016,292
0,01/01/2017,343
0,01/01/2018,364
0,02/01/2013,243
0,02/01/2014,220
0,02/01/2015,223
0,02/01/2016,291
0,02/01/2017,327
0,02/01/2018,360
0,03/01/2013,278
0,03/01/2014,237
0,03/01/2015,246
0,03/01/2016,305
0,03/01/2017,422
0,03/01/2018,429
0,04/01/2013,257
0,04/01/2014,230
0,04/01/2015,289
0,04/01/2016,377
0,04/01/2017,404
0,04/01/2018,30
0,05/01/2013,287
0,05/01/2014,308
0,05/01/2015,333
0,05/01/2016,454
0,05/01/2017,472
0,06/01/2013,347
0,06/01/2014,303
0,06/01/2015,316
0,06/01/2016,473
0,06/01/2017,503
0,07/01/2012,332
0,07/01/2013,308
0,07/01/2014,314
0,07/01/2015,365
0,07/01/2016,533
0,07/01/2017,418
0,08/01/2012,276
0,08/01/2013,283
0,08/01/2014,291
0,08/01/2015,367
0,08/01/2016,479
0,08/01/2017,411
0,09/01/2012,303
0,09/01/2013,269
0,09/01/2014,240
0,09/01/2015,302
0,09/01/2016,473
0,09/01/2017,386
0,10/01/2012,276
0,10/01/2013,246
0,10/01/2014,277
0,10/01/2015,322
0,10/01/2016,454
0,10/01/2017,381
0,11/01/2012,244
0,11/01/2013,252
0,11/01/2014,281
0,11/01/2015,272
0,11/01/2016,433
0,11/01/2017,451
0,12/01/2012,324
0,12/01/2013,280
0,12/01/2014,297
0,12/01/2015,311
0,12/01/2016,445
0,12/01/2017,455
1,01/01/2013,173
1,01/01/2014,153
1,01/01/2015,208
1,01/01/2016,221
1,01/01/2017,167
1,01/01/2018,149
1,02/01/2013,178
1,02/01/2014,150
1,02/01/2015,160
1,02/01/2016,136
1,02/01/2017,146
1,02/01/2018,152
1,03/01/2013,179
1,03/01/2014,157
1,03/01/2015,183
1,03/01/2016,180
1,03/01/2017,139
1,03/01/2018,171
1,04/01/2013,184
1,04/01/2014,163
1,04/01/2015,169
1,04/01/2016,206
1,04/01/2017,192
1,04/01/2018,15
1,05/01/2013,204
1,05/01/2014,196
1,05/01/2015,250
1,05/01/2016,212
1,05/01/2017,184
1,06/01/2013,238
1,06/01/2014,210
1,06/01/2015,214
1,06/01/2016,173
1,06/01/2017,180
1,07/01/2012,220
1,07/01/2013,231
1,07/01/2014,234
1,07/01/2015,245
1,07/01/2016,252
1,07/01/2017,207
1,08/01/2012,210
1,08/01/2013,225
1,08/01/2014,206
1,08/01/2015,260
1,08/01/2016,207
1,08/01/2017,207
1,09/01/2012,215
1,09/01/2013,194
1,09/01/2014,201
1,09/01/2015,243
1,09/01/2016,192
1,09/01/2017,183
1,10/01/2012,169
1,10/01/2013,176
1,10/01/2014,204
1,10/01/2015,243
1,10/01/2016,191
1,10/01/2017,137
1,11/01/2012,170
1,11/01/2013,191
1,11/01/2014,203
