ym,hour,total_injured,total_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed
12-07,0,86,2,12,0,14,0,60,2
12-07,1,77,1,10,1,6,0,61,0
12-07,10,139,1,36,0,13,0,90,1
12-07,11,143,0,38,0,18,0,87,0
12-07,12,195,0,50,0,14,0,131,0
12-07,13,188,0,31,0,16,0,141,0
12-07,14,252,0,37,0,30,0,185,0
12-07,15,247,0,48,0,21,0,178,0
12-07,16,257,1,61,0,30,0,166,1
12-07,17,218,0,44,0,24,0,150,0
12-07,18,259,0,65,0,39,0,155,0
12-07,19,216,1,42,0,36,1,138,0
12-07,2,56,0,12,0,10,0,34,0
12-07,20,177,3,55,1,23,0,99,2
12-07,21,166,3,43,2,30,0,93,1
12-07,22,186,1,31,0,25,1,130,0
12-07,23,162,2,36,0,15,1,111,1
12-07,3,68,6,5,1,4,0,59,5
12-07,4,60,0,10,0,2,0,48,0
12-07,5,56,0,11,0,2,0,43,0
12-07,6,62,0,9,0,2,0,51,0
12-07,7,83,0,11,0,5,0,67,0
12-07,8,158,0,32,0,12,0,114,0
12-07,9,173,0,35,0,24,0,114,0
12-08,0,104,1,13,1,9,0,82,0
12-08,1,81,1,14,1,7,0,60,0
12-08,10,157,0,41,0,20,0,96,0
12-08,11,147,0,28,0,25,0,94,0
12-08,12,172,1,35,0,12,0,125,1
12-08,13,179,1,40,1,27,0,112,0
12-08,14,245,1,49,0,31,0,165,1
12-08,15,213,0,36,0,32,0,145,0
12-08,16,263,1,54,1,33,0,176,0
12-08,17,272,0,61,0,38,0,173,0
12-08,18,222,1,53,0,32,0,137,1
12-08,19,180,3,47,1,45,0,88,2
12-08,2,66,1,7,0,9,0,50,1
12-08,20,187,1,56,1,36,0,95,0
12-08,21,192,2,51,0,25,1,116,1
12-08,22,173,2,41,2,17,0,115,0
12-08,23,138,1,24,1,13,0,101,0
12-08,3,36,0,8,0,1,0,27,0
12-08,4,74,1,17,1,2,0,55,0
12-08,5,46,0,8,0,3,0,35,0
12-08,6,51,0,8,0,3,0,40,0
12-08,7,75,0,16,0,9,0,50,0
12-08,8,130,1,30,1,10,0,90,0
12-08,9,188,1,36,1,19,0,133,0
12-09,0,77,1,17,0,5,0,55,1
12-09,1,65,0,15,0,4,0,46,0
12-09,10,175,0,47,0,11,0,117,0
12-09,11,150,0,35,0,18,0,97,0
12-09,12,213,2,47,1,22,0,144,1
12-09,13,156,1,30,0,15,0,111,1
12-09,14,209,1,49,1,29,0,131,0
12-09,15,231,1,60,1,30,0,141,0
12-09,16,237,0,59,0,33,0,145,0
12-09,17,254,0,62,0,41,0,151,0
12-09,18,193,0,42,0,35,0,116,0
12-09,19,164,0,48,0,19,0,97,0
12-09,2,82,0,11,0,4,0,67,0
12-09,20,209,2,48,1,28,0,133,1
12-09,21,126,1,38,1,18,0,70,0
12-09,22,170,1,31,1,22,0,117,0
12-09,23,107,5,22,4,9,0,76,1
12-09,3,46,2,8,1,3,0,35,1
12-09,4,91,0,14,0,3,0,74,0
12-09,5,58,0,9,0,2,0,47,0
12-09,6,91,2,21,1,5,1,65,0
12-09,7,90,0,17,0,7,0,66,0
12-09,8,203,0,53,0,16,0,134,0
12-09,9,151,0,39,0,16,0,96,0
12-10,0,61,1,9,1,3,0,48,0
12-10,1,45,1,11,1,5,0,29,0
12-10,10,151,0,35,0,18,0,97,0
12-10,11,182,1,47,1,11,0,124,0
12-10,12,169,0,40,0,21,0,108,0
12-10,13,192,0,52,0,20,0,120,0
12-10,14,223,1,54,1,17,0,152,0
12-10,15,254,0,68,0,24,0,161,0
12-10,16,265,0,52,0,22,0,191,0
12-10,17,206,2,60,2,19,0,126,0
12-10,18,252,1,64,0,27,0,161,1
12-10,19,196,1,57,1,17,0,120,0
12-10,2,50,0,8,0,1,0,41,0
12-10,20,167,1,42,0,15,0,110,1
12-10,21,150,0,35,0,19,0,96,0
12-10,22,120,0,30,0,11,0,79,0
12-10,23,157,2,20,1,15,0,122,1
12-10,3,36,0,11,0,1,0,24,0
12-10,4,44,0,5,0,2,0,37,0
12-10,5,47,1,10,0,1,1,36,0
12-10,6,64,3,27,2,2,0,35,1
12-10,7,109,1,43,1,4,0,62,0
12-10,8,187,0,56,0,11,0,120,0
12-10,9,189,0,47,0,11,0,131,0
12-11,0,61,0,11,0,4,0,46,0
12-11,1,45,0,5,0,2,0,38,0
12-11,10,133,0,50,0,7,0,76,0
12-11,11,150,2,42,1,17,0,91,1
12-11,12,136,0,38,0,12,0,86,0
12-11,13,146,1,52,1,8,0,86,0
12-11,14,173,0,45,0,22,0,106,0
12-11,15,244,0,79,0,12,0,153,0
12-11,16,178,0,59,0,19,0,100,0
12-11,17,242,0,97,0,26,0,119,0
12-11,18,243,2,100,2,18,0,125,0
12-11,19,201,1,66,0,21,0,114,1
12-11,2,41,1,6,0,1,0,34,1
12-11,20,152,0,51,0,15,0,86,0
12-11,21,100,0,24,0,14,0,62,0
12-11,22,116,1,33,0,9,0,74,1
12-11,23,94,1,15,1,8,0,71,0
12-11,3,43,1,8,1,4,0,31,0
12-11,4,55,0,6,0,0,0,49,0
12-11,5,72,2,10,1,3,0,59,1
12-11,6,76,0,18,0,4,0,54,0
12-11,7,111,0,24,0,4,0,83,0
12-11,8,177,0,51,0,16,0,110,0
12-11,9,134,0,39,0,8,0,87,0
12-12,0,80,0,20,0,4,0,56,0
12-12,1,58,1,16,1,4,0,38,0
12-12,10,129,0,34,0,8,0,87,0
12-12,11,137,0,35,0,6,0,96,0
12-12,12,180,0,49,0,10,0,121,0
12-12,13,184,1,56,1,10,0,118,0
12-12,14,206,1,64,1,10,0,132,0
12-12,15,173,0,58,0,15,0,100,0
12-12,16,199,1,75,0,9,0,115,1
12-12,17,255,2,113,2,18,0,124,0
12-12,18,282,4,121,3,20,0,141,1
12-12,19,215,1,89,1,16,0,110,0
12-12,2,72,1,8,0,5,0,59,1
12-12,20,240,1,85,1,15,0,140,0
12-12,21,138,1,45,0,7,0,86,1
12-12,22,130,0,37,0,4,0,89,0
12-12,23,136,0,45,0,6,0,85,0
12-12,3,46,1,13,1,2,0,31,0
12-12,4,61,3,13,1,1,0,47,2
12-12,5,84,1,10,0,0,0,74,1
12-12,6,123,1,48,1,3,0,72,0
12-12,7,127,0,53,0,5,0,69,0
12-12,8,155,2,51,2,11,0,93,0
12-12,9,147,0,42,0,7,0,98,0
13-01,0,70,0,22,0,1,0,47,0
13-01,1,86,1,12,1,1,0,73,0
13-01,10,106,0,29,0,2,0,75,0
13-01,11,127,0,38,0,8,0,81,0
13-01,12,148,2,36,1,9,0,103,1
13-01,13,120,2,44,2,14,0,62,0
13-01,14,166,3,64,3,8,0,94,0
13-01,15,180,1,62,1,10,0,108,0
13-01,16,196,0,53,0,14,0,129,0
13-01,17,216,0,89,0,14,0,113,0
13-01,18,285,4,111,4,25,0,149,0
13-01,19,178,1,75,1,11,0,92,0
13-01,2,62,4,18,1,1,0,43,3
13-01,20,150,1,60,1,14,0,76,0
13-01,21,132,2,50,1,12,0,70,1
13-01,22,88,2,20,1,5,0,63,1
13-01,23,87,0,19,0,5,0,63,0
13-01,3,42,0,7,0,3,0,32,0
13-01,4,49,0,10,0,2,0,37,0
13-01,5,65,0,7,0,6,0,52,0
13-01,6,86,2,41,2,0,0,45,0
13-01,7,109,2,37,1,5,0,67,1
13-01,8,195,0,55,0,7,0,133,0
13-01,9,143,0,37,0,4,0,102,0
13-02,0,73,2,19,2,1,0,53,0
13-02,1,50,1,16,1,1,0,33,0
13-02,10,124,1,37,1,7,0,80,0
13-02,11,117,1,40,1,7,0,70,0
13-02,12,112,0,37,0,6,0,69,0
13-02,13,109,0,29,0,4,0,76,0
13-02,14,196,3,51,0,7,0,138,3
13-02,15,144,1,47,0,8,0,89,1
13-02,16,202,0,69,0,10,0,123,0
13-02,17,131,1,42,1,4,0,85,0
13-02,18,188,2,88,1,7,0,93,1
13-02,19,153,1,73,1,9,0,71,0
13-02,2,31,0,9,0,0,0,22,0
13-02,20,144,2,43,1,21,0,80,1
13-02,21,117,0,43,0,9,0,65,0
13-02,22,101,0,27,0,6,0,68,0
13-02,23,90,0,21,0,4,0,65,0
13-02,3,32,0,5,0,0,0,27,0
13-02,4,36,0,7,0,0,0,29,0
13-02,5,49,0,8,0,1,0,40,0
13-02,6,83,0,32,0,2,0,49,0
13-02,7,92,1,27,1,1,0,64,0
13-02,8,218,0,70,0,6,0,142,0
