ym,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,incident_count
12-07,10000,2,0,0,0,1,0,1,0,2
12-07,10001,36,0,11,0,6,0,19,0,161
12-07,10002,29,0,10,0,5,0,14,0,179
12-07,10003,32,0,12,0,8,0,12,0,139
12-07,10004,0,0,0,0,0,0,0,0,24
12-07,10005,0,0,0,0,0,0,0,0,16
12-07,10006,0,0,0,0,0,0,0,0,11
12-07,10007,16,0,4,0,4,0,8,0,53
12-07,10009,9,0,3,0,2,0,4,0,79
12-07,10010,18,0,8,0,2,0,8,0,83
12-07,10011,22,0,5,0,12,0,5,0,114
12-07,10012,22,0,5,0,3,0,14,0,125
12-07,10013,34,0,12,0,4,0,18,0,202
12-07,10014,13,0,5,0,0,0,8,0,74
12-07,10016,37,0,12,0,5,0,20,0,189
12-07,10017,15,0,3,0,0,0,12,0,113
12-07,10018,15,0,6,0,2,0,7,0,124
12-07,10019,29,0,11,0,3,0,15,0,187
12-07,10020,0,0,0,0,0,0,0,0,8
12-07,10021,17,0,7,0,5,0,5,0,64
12-07,10022,18,0,11,0,4,0,3,0,208
12-07,10023,21,0,7,0,3,0,11,0,86
12-07,10024,21,0,8,0,4,0,9,0,85
12-07,10025,8,1,5,1,1,0,2,0,81
12-07,10026,7,0,2,0,1,0,4,0,26
12-07,10027,28,0,7,0,3,0,18,0,89
12-07,10028,10,0,2,0,2,0,6,0,61
12-07,10029,29,1,9,0,6,1,14,0,103
12-07,10030,18,0,5,0,1,0,12,0,49
12-07,10031,20,1,3,0,1,0,16,1,63
12-07,10032,33,0,4,0,4,0,25,0,68
12-07,10033,20,0,3,0,3,0,14,0,82
12-07,10034,10,0,2,0,4,0,4,0,56
12-07,10035,24,0,10,0,0,0,14,0,90
12-07,10036,17,0,8,0,3,0,6,0,207
12-07,10037,9,0,2,0,0,0,7,0,47
12-07,10038,11,0,2,0,1,0,8,0,40
12-07,10039,6,0,0,0,1,0,5,0,22
12-07,10040,3,0,0,0,1,0,2,0,25
12-07,10065,15,0,3,0,3,0,9,0,100
12-07,10069,1,0,0,0,1,0,0,0,4
12-07,10075,10,0,6,0,1,0,3,0,35
12-07,10119,1,0,0,0,1,0,0,0,3
12-07,10128,16,0,2,0,2,0,12,0,76
12-07,10280,0,0,0,0,0,0,0,0,1
12-07,10301,21,0,1,0,0,0,20,0,78
12-07,10302,12,0,3,0,1,0,8,0,38
12-07,10303,18,0,3,0,1,0,14,0,45
12-07,10304,15,0,1,0,0,0,14,0,72
12-07,10305,21,0,1,0,0,0,20,0,76
12-07,10306,35,0,7,0,1,0,27,0,117
12-07,10307,4,0,0,0,0,0,4,0,15
12-07,10308,6,0,0,0,0,0,6,0,36
12-07,10309,6,0,0,0,1,0,5,0,44
12-07,10310,9,0,1,0,2,0,6,0,38
12-07,10312,18,0,0,0,1,0,17,0,74
12-07,10314,19,1,3,0,1,0,15,1,135
12-07,10451,31,0,7,0,1,0,23,0,85
12-07,10452,24,0,7,0,0,0,17,0,75
12-07,10453,24,0,9,0,1,0,14,0,73
12-07,10454,17,0,4,0,1,0,12,0,62
12-07,10455,31,0,9,0,1,0,21,0,63
12-07,10456,26,1,7,1,2,0,17,0,71
12-07,10457,28,0,3,0,1,0,24,0,73
12-07,10458,22,0,5,0,3,0,14,0,78
12-07,10459,27,0,6,0,0,0,21,0,75
12-07,10460,30,0,7,0,4,0,19,0,65
12-07,10461,39,1,7,0,3,0,29,1,96
12-07,10462,35,0,6,0,4,0,25,0,79
12-07,10463,11,0,3,0,1,0,7,0,59
12-07,10464,6,0,0,0,1,0,5,0,15
12-07,10465,14,0,3,0,0,0,11,0,46
12-07,10466,23,0,4,0,3,0,16,0,101
12-07,10467,22,2,6,0,1,1,15,1,103
12-07,10468,24,0,4,0,2,0,18,0,83
12-07,10469,31,0,4,0,3,0,24,0,77
12-07,10470,18,0,1,0,1,0,16,0,43
12-07,10471,3,0,0,0,0,0,3,0,18
12-07,10472,16,0,3,0,1,0,12,0,54
12-07,10473,11,0,1,0,2,0,8,0,53
12-07,10474,11,0,2,0,1,0,8,0,32
12-07,10475,24,0,2,0,1,0,21,0,62
12-07,11001,1,0,0,0,0,0,1,0,8
12-07,11004,7,0,2,0,0,0,5,0,28
12-07,11005,0,0,0,0,0,0,0,0,1
12-07,11040,5,0,0,0,0,0,5,0,5
12-07,11101,33,0,7,0,2,0,24,0,178
12-07,11102,9,0,3,0,0,0,6,0,33
12-07,11103,16,0,6,0,2,0,8,0,56
12-07,11104,7,1,3,0,0,1,4,0,28
12-07,11105,5,0,0,0,0,0,5,0,35
12-07,11106,20,0,5,0,1,0,14,0,63
12-07,11109,0,0,0,0,0,0,0,0,1
12-07,11201,31,0,8,0,5,0,18,0,156
12-07,11203,67,0,15,0,9,0,43,0,179
12-07,11204,23,0,5,0,4,0,14,0,90
12-07,11205,17,0,5,0,4,0,8,0,86
12-07,11206,48,0,10,0,9,0,29,0,114
12-07,11207,87,1,13,1,9,0,65,0,223
12-07,11208,54,0,12,0,6,0,36,0,132
12-07,11209,26,0,6,0,4,0,16,0,69
12-07,11210,49,0,6,0,1,0,42,0,85
12-07,11211,34,0,7,0,5,0,22,0,104
12-07,11212,69,1,11,1,7,0,51,0,109
12-07,11213,62,0,14,0,3,0,45,0,120
12-07,11214,36,0,5,0,2,0,29,0,103
12-07,11215,19,0,5,0,2,0,12,0,104
12-07,11216,34,1,3,0,6,0,25,1,109
12-07,11217,21,0,3,0,7,0,11,0,116
12-07,11218,38,0,6,0,4,0,28,0,94
12-07,11219,18,0,3,0,3,0,12,0,93
12-07,11220,52,0,11,0,10,0,31,0,149
12-07,11221,44,0,8,0,2,0,34,0,89
12-07,11222,22,0,3,0,6,0,13,0,86
12-07,11223,30,1,10,0,3,0,17,1,98
12-07,11224,15,0,5,0,5,0,5,0,62
12-07,11225,41,1,7,1,7,0,27,0,83
12-07,11226,85,0,17,0,9,0,59,0,157
12-07,11228,15,0,3,0,1,0,11,0,46
12-07,11229,27,0,5,0,5,0,17,0,82
12-07,11230,26,0,5,0,4,0,17,0,121
12-07,11231,9,0,2,0,2,0,5,0,26
12-07,11232,16,0,4,0,0,0,12,0,72
12-07,11233,55,0,13,0,5,0,37,0,133
12-07,11234,60,0,4,0,5,0,51,0,155
12-07,11235,21,0,8,0,7,0,6,0,113
12-07,11236,47,0,9,0,4,0,34,0,148
12-07,11237,16,0,6,0,2,0,8,0,49
12-07,11238,24,0,3,0,8,0,13,0,83
12-07,11239,3,0,2,0,0,0,1,0,10
12-07,11249,8,0,4,0,1,0,3,0,41
12-07,11354,27,0,8,0,1,0,18,0,103
12-07,11355,29,0,6,0,3,0,20,0,110
12-07,11356,9,0,3,0,0,0,6,0,38
12-07,11357,9,0,0,0,1,0,8,0,28
12-07,11358,8,0,1,0,0,0,7,0,50
12-07,11360,3,0,3,0,0,0,0,0,13
12-07,11361,10,0,2,0,1,0,7,0,79
12-07,11362,4,0,0,0,0,0,4,0,32
12-07,11363,6,0,0,0,2,0,4,0,20
12-07,11364,9,0,1,0,0,0,8,0,28
12-07,11365,9,0,0,0,0,0,9,0,44
12-07,11366,17,0,2,0,0,0,15,0,24
12-07,11367,2,0,0,0,0,0,2,0,27
12-07,11368,18,0,4,0,2,0,12,0,85
12-07,11369,19,1,2,0,4,0,13,1,52
12-07,11370,14,0,0,0,1,0,13,0,50
12-07,11372,27,0,10,0,3,0,14,0,94
12-07,11373,29,0,8,0,4,0,17,0,118
12-07,11374,9,0,4,0,1,0,4,0,67
12-07,11375,20,0,8,0,5,0,7,0,105
12-07,11377,28,0,4,0,7,0,17,0,121
12-07,11378,13,0,0,0,0,0,13,0,75
12-07,11379,6,0,1,0,0,0,5,0,45
12-07,11385,30,0,7,0,6,0,17,0,133
12-07,11411,11,0,0,0,2,0,9,0,27
12-07,11412,20,0,0,0,3,0,17,0,41
12-07,11413,36,0,4,0,0,0,32,0,80
12-07,11414,13,0,1,0,0,0,12,0,39
12-07,11415,5,0,3,0,0,0,2,0,20
12-07,11416,17,0,1,0,0,0,16,0,52
12-07,11417,28,0,2,0,1,0,25,0,54
12-07,11418,18,5,2,0,3,0,13,5,42
12-07,11419,15,0,2,0,3,0,10,0,71
12-07,11420,24,0,0,0,1,0,23,0,58
12-07,11421,16,0,3,0,3,0,10,0,59
12-07,11422,32,0,1,0,1,0,30,0,68
12-07,11423,16,0,2,0,0,0,14,0,38
12-07,11426,6,0,0,0,0,0,6,0,21
12-07,11427,12,0,3,0,1,0,8,0,27
12-07,11428,13,0,1,0,0,0,12,0,30
12-07,11429,9,0,1,0,2,0,6,0,36
12-07,11430,0,0,0,0,0,0,0,0,1
12-07,11432,20,0,7,0,1,0,12,0,75
12-07,11433,20,0,4,0,2,0,14,0,57
12-07,11434,36,1,1,0,2,0,33,1,120
12-07,11435,31,0,4,0,1,0,26,0,74
12-07,11436,7,0,3,0,1,0,3,0,20
12-07,11691,19,0,5,0,2,0,12,0,63
12-07,11692,7,0,2,0,0,0,5,0,16
12-07,11693,1,0,0,0,0,0,1,0,9
12-07,11694,9,0,1,0,3,0,5,0,19
12-07,11697,2,0,0,0,2,0,0,0,4
12-08,10001,32,0,11,0,6,0,15,0,176
12-08,10002,35,1,9,1,13,0,13,0,182
12-08,10003,21,0,12,0,6,0,3,0,137
12-08,10004,4,1,2,1,1,0,1,0,20
12-08,10005,1,0,1,0,0,0,0,0,11
12-08,10006,0,0,0,0,0,0,0,0,15
12-08,10007,6,0,1,0,2,0,3,0,40
12-08,10009,15,0,4,0,5,0,6,0,76
12-08,10010,15,0,4,0,7,0,4,0,73
12-08,10011,28,0,8,0,5,0,15,0,142
12-08,10012,33,0,9,0,5,0,19,0,120
12-08,10013,24,0,11,0,4,0,9,0,176
12-08,10014,3,0,1,0,1,0,1,0,83
12-08,10016,34,0,13,0,6,0,15,0,190
12-08,10017,26,0,6,0,1,0,19,0,130
12-08,10018,15,0,3,0,5,0,7,0,149
12-08,10019,37,0,11,0,11,0,15,0,175
12-08,10020,1,0,1,0,0,0,0,0,7
12-08,10021,11,0,3,0,3,0,5,0,58
12-08,10022,30,1,15,1,4,0,11,0,193
12-08,10023,14,0,6,0,3,0,5,0,88
12-08,10024,12,0,2,0,0,0,10,0,81
12-08,10025,16,0,5,0,2,0,9,0,80
12-08,10026,12,0,3,0,5,0,4,0,34
12-08,10027,31,0,8,0,2,0,21,0,94
12-08,10028,6,0,2,0,1,0,3,0,51
12-08,10029,27,0,6,0,3,0,18,0,94
12-08,10030,17,0,4,0,2,0,11,0,39
12-08,10031,20,0,3,0,5,0,12,0,57
12-08,10032,12,0,4,0,1,0,7,0,58
12-08,10033,19,0,4,0,3,0,12,0,69
12-08,10034,9,0,2,0,3,0,4,0,61
12-08,10035,24,0,12,0,1,0,11,0,101
12-08,10036,14,0,11,0,2,0,1,0,197
12-08,10037,11,0,5,0,0,0,6,0,35
12-08,10038,6,0,3,0,1,0,2,0,50
12-08,10039,7,0,2,0,2,0,3,0,21
12-08,10040,9,0,6,0,1,0,2,0,35
12-08,10065,16,0,4,0,1,0,11,0,84
12-08,10069,0,0,0,0,0,0,0,0,1
12-08,10075,6,0,4,0,0,0,2,0,39
12-08,10119,0,0,0,0,0,0,0,0,4
12-08,10128,17,0,4,0,1,0,12,0,64
12-08,10280,1,0,0,0,1,0,0,0,2
12-08,10281,0,0,0,0,0,0,0,0,1
12-08,10282,0,0,0,0,0,0,0,0,1
12-08,10301,15,0,3,0,2,0,10,0,61
12-08,10302,9,0,3,0,1,0,5,0,39
12-08,10303,9,0,3,0,1,0,5,0,46
12-08,10304,14,0,5,0,0,0,9,0,87
12-08,10305,25,0,4,0,2,0,19,0,70
12-08,10306,28,0,3,0,0,0,25,0,119
12-08,10307,4,0,0,0,0,0,4,0,14
12-08,10308,13,0,1,0,0,0,12,0,27
12-08,10309,15,0,0,0,0,0,15,0,56
12-08,10310,17,0,2,0,1,0,14,0,53
12-08,10312,33,2,0,0,0,0,33,2,100
12-08,10314,38,1,5,1,1,0,32,0,177
12-08,10451,29,0,8,0,3,0,18,0,91
12-08,10452,18,0,3,0,1,0,14,0,79
12-08,10453,27,0,6,0,1,0,20,0,74
12-08,10454,16,0,3,0,0,0,13,0,52
12-08,10455,21,1,1,1,1,0,19,0,54
12-08,10456,20,0,7,0,2,0,11,0,66
12-08,10457,21,0,4,0,4,0,13,0,74
12-08,10458,25,0,12,0,2,0,11,0,98
12-08,10459,19,0,1,0,3,0,15,0,60
