,business_id,date,review_id,stars,user_id
79666,v3AS5LGeV2Si4nOHZ7lgxQ,2005-12-23,6ObNOuQQ9GDPgs0E-sIgJA,3,rtGGNdFjhwB1tc7jLaWi6Q
102875,QwGV_v3s9eOMzfWrFLUf6A,2005-12-25,xjGEd61ZfCNbhFN-JZ8r0Q,3,NUceDv-rdWaZk644Ps8sWg
113675,kUTusjnUPVZUgUJc2GuWuA,2005-10-09,A-MUd95QlZqW1cBLwXEACA,5,uZV0neUr5NefvU4o3NZBPw
113681,pxpLVCInGwLClbnwJwxInw,2005-10-09,lN0HG7ApQFO3FtDjxFTY6Q,2,uZV0neUr5NefvU4o3NZBPw
113683,dc6sPg9kNliz_Cy2yX19tw,2005-10-09,lLL4eLHwhQHZrBn9qq26Tw,3,uZV0neUr5NefvU4o3NZBPw
113696,yZAGhlsrmupLbrgdKm6reg,2005-10-09,gk1AKlWvyOrdfvv7xV_x0Q,4,uZV0neUr5NefvU4o3NZBPw
113703,aqONNC5onqX6EqHHUO1CJA,2005-10-09,dZ7z3B4h3G5nhKwfsAPBCQ,4,uZV0neUr5NefvU4o3NZBPw
131690,yMopev-RPxfEXgqkJOvCGA,2005-09-07,I98aR821LppxDX3laHen1g,5,aIk07jxkia9izLMKRbaHHw
131691,_4Gpn_NIM94D9OFucgfaJQ,2005-05-03,W3hntNgAgCDcW9M6efLHIQ,3,aIk07jxkia9izLMKRbaHHw
131692,_5UAFrD3EDgJO1aZgRxH7w,2005-09-07,Z38q7MEl1Yiioxc--RkZVg,5,aIk07jxkia9izLMKRbaHHw
131693,IpH4Ngf30TLTBljWvOOt7A,2005-09-07,OZaO3QOuufMvSRCIPbLOfQ,3,aIk07jxkia9izLMKRbaHHw
131694,aO1gAp41n8w8zpxTiHdLNA,2005-09-07,yIdT9E7ZFSjzE4JfXKiaxA,4,aIk07jxkia9izLMKRbaHHw
257851,nMo0ozHO7cqsPaxw_7N6ow,2005-06-17,9wBpd-mndRtL3lqYkD0gMg,5,RwIZKjFhYJJOs76BvlsR_Q
257853,KEGLWeFAWXvo0W2LnujhtQ,2005-07-24,HTbUyxKDSwFOEEIFhl3QtQ,5,RwIZKjFhYJJOs76BvlsR_Q
257854,ZCXjNG1EBFiKKMtR9DOTGg,2005-06-17,xBljDmk1cMOuc1RcpSCQQw,5,RwIZKjFhYJJOs76BvlsR_Q
257857,Oy2WnPyiOlPFvPKMIuOC8w,2005-06-18,0Xy8-yZek5euK4N4KJThuA,5,RwIZKjFhYJJOs76BvlsR_Q
257858,osSwv6CJy5hDKQdOKeyTow,2005-06-17,rdkleczlQYs1BbIUAaAa5Q,5,RwIZKjFhYJJOs76BvlsR_Q
309573,vn5f16PcHU-feucWgK7r1g,2005-12-31,EesXs5xflqDSevXR7lWNjg,5,hRsDz-LjgnVArxl5Peac5w
309574,rb2IywByQD6QWz4pWnbWqg,2005-12-31,2WtdUUJgKmvzKLVp0lDpMw,5,hRsDz-LjgnVArxl5Peac5w
