,elite,reg,random
0,269.0,33.0,24.0
1,268.0,33.0,24.0
2,268.0,33.0,24.0
3,264.0,33.0,24.0
4,264.0,33.0,24.0
5,264.0,33.0,23.0
6,264.0,33.0,23.0
7,264.0,32.0,22.0
8,264.0,32.0,22.0
9,254.0,32.0,22.0
10,254.0,32.0,22.0
11,254.0,32.0,22.0
12,254.0,32.0,22.0
13,254.0,29.0,22.0
14,254.0,29.0,22.0
15,254.0,29.0,22.0
16,254.0,29.0,22.0
17,253.0,29.0,22.0
18,251.0,29.0,22.0
19,251.0,29.0,21.0
20,251.0,29.0,21.0
21,251.0,29.0,21.0
22,251.0,29.0,21.0
23,251.0,29.0,21.0
24,247.0,29.0,21.0
25,246.0,29.0,21.0
26,244.0,28.0,21.0
27,244.0,28.0,21.0
28,239.0,28.0,21.0
29,233.0,28.0,21.0
30,233.0,28.0,21.0
31,233.0,28.0,21.0
32,232.0,28.0,21.0
33,231.0,28.0,21.0
34,229.0,28.0,21.0
35,194.0,28.0,21.0
36,194.0,28.0,21.0
37,194.0,28.0,21.0
38,193.0,28.0,21.0
39,192.0,28.0,21.0
40,191.0,28.0,21.0
41,190.0,28.0,21.0
42,190.0,28.0,21.0
43,189.0,28.0,21.0
44,189.0,28.0,21.0
45,189.0,28.0,21.0
46,188.0,28.0,21.0
47,187.0,28.0,21.0
48,184.0,28.0,21.0
49,184.0,28.0,21.0
50,183.0,28.0,21.0
51,179.0,28.0,20.0
52,177.0,28.0,20.0
53,177.0,28.0,20.0
54,175.0,28.0,19.0
55,175.0,28.0,19.0
56,175.0,28.0,19.0
57,175.0,28.0,19.0
58,175.0,28.0,19.0
59,174.0,28.0,19.0
60,174.0,27.0,19.0
61,169.0,26.0,19.0
62,57.0,26.0,19.0
63,57.0,26.0,19.0
64,57.0,26.0,19.0
65,45.0,26.0,19.0
66,45.0,26.0,19.0
67,45.0,26.0,19.0
68,41.0,26.0,19.0
69,41.0,26.0,19.0
70,41.0,26.0,19.0
71,41.0,26.0,19.0
72,41.0,26.0,18.0
73,40.0,26.0,18.0
74,39.0,26.0,18.0
75,38.0,26.0,18.0
76,38.0,25.0,18.0
77,38.0,25.0,18.0
78,38.0,25.0,18.0
79,38.0,25.0,18.0
80,37.0,24.0,18.0
81,37.0,24.0,18.0
82,37.0,24.0,17.0
83,37.0,24.0,17.0
84,37.0,24.0,15.0
85,37.0,24.0,15.0
86,37.0,24.0,15.0
87,37.0,24.0,15.0
88,37.0,24.0,15.0
89,37.0,24.0,15.0
90,37.0,24.0,15.0
91,33.0,24.0,15.0
92,33.0,24.0,15.0
93,33.0,24.0,14.0
94,33.0,24.0,14.0
95,33.0,24.0,14.0
96,33.0,24.0,14.0
97,33.0,24.0,14.0
98,33.0,24.0,14.0
99,33.0,24.0,14.0
