,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
23,746 Street Clair Avenue W,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",5J3b7j3Fzo9ISjChmoUoUA,"Food, Bakeries, Coffee & Tea",Toronto,"{'Monday': '7:30-19:0', 'Tuesday': '7:30-19:0', 'Wednesday': '7:30-19:0', 'Thursday': '7:30-19:0', 'Friday': '7:30-19:0', 'Saturday': '8:0-18:0', 'Sunday': '9:0-18:0'}",1,43.6813277,-79.4278838,Mabel's Bakery,Wychwood,M6C 1B5,23,4.0,ON
27,99 Yorkville Avenue,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True'}",PMDlKLd0Mxj0ngCpuUmE5Q,"Restaurants, Food, Canadian (New), Coffee & Tea",Toronto,,0,43.6708846,-79.3923788,The Coffee Mill Restaurant,Yorkville,M5R 3K5,25,3.5,ON
88,1028 Shaw St,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'False', 'WiFi': 'free'}",mr3rQcYBKWu2L6o7qtQ9Wg,"Restaurants, Food, Coffee & Tea, Breakfast & Brunch",Toronto,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-17:0'}",0,43.6691157,-79.4260211,Hub Coffee House & Locavorium,Christie Pits,M6G 3N2,31,4.0,ON
198,631 Bloor Street W,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'HasTV': 'False', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",AoItX6upESFG_EowRa05eg,"Coffee & Tea, Grocery, Latin American, Restaurants, Food",Toronto,"{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-19:0'}",1,43.6643448,-79.4143913,Ave Maria Latin Café,Koreatown,M6G 1K8,27,4.5,ON
370,875 Bay Street,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'DogsAllowed': 'True', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': True}"", 'HasTV': 'True', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",YA7kPicnPFqd_gydw0SOjw,"Cafes, Coffee & Tea, Restaurants, Food",Toronto,"{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '9:0-20:0', 'Sunday': '10:0-18:0'}",1,43.662622,-79.3863994,Presse Café,Discovery District,M5S 3K6,10,3.5,ON
375,355 Danforth Avenue,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",D_VpAGPNEde64N0CwXMkiw,"Food, Coffee & Tea",Toronto,"{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-23:0', 'Saturday': '6:0-23:0', 'Sunday': '7:0-23:0'}",1,43.6772213,-79.3529116,The Second Cup,Riverdale,M4K 1N7,10,3.5,ON
389,"3300 Midland Ave, Unit 32","{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",ii_zDR8crbQVJehMMWoCkQ,"Donuts, Food, Coffee & Tea",Toronto,"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:0', 'Saturday': '6:0-21:0', 'Sunday': '6:0-21:0'}",1,43.8067504,-79.2888581,Marathon Donuts & Coffee Shop,Milliken,M1V,76,4.0,ON
475,625 Church Street,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': True}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",webM3oChwDCkzZEmjrSeHQ,"Restaurants, Food, Sandwiches, Caterers, Breakfast & Brunch, Coffee & Tea, Event Planning & Services",Toronto,"{'Monday': '7:30-16:30', 'Tuesday': '7:30-16:30', 'Wednesday': '7:30-16:30', 'Thursday': '7:30-16:30', 'Friday': '7:30-16:30', 'Saturday': '8:30-16:0', 'Sunday': '8:30-16:0'}",1,43.6695736876,-79.3823492115,The Croissant Tree,Church-Wellesley Village,M4Y 2G1,52,3.5,ON
1375,2312 Bloor Street W,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",e5Ut3UyuCV9rxhm2lRrXQg,"Coffee & Tea, Food",Toronto,,0,43.6504938,-79.4797612,Java Joes,Bloor-West Village,M6S 1P2,5,3.0,ON
1384,2245 Yonge Street,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",Rp7ABbhY8kUpgwrzJADnqw,"Food, Ice Cream & Frozen Yogurt, Restaurants, Breakfast & Brunch, Sandwiches, Coffee & Tea",Toronto,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,43.7063824,-79.3977847,Tim Horton's,Yonge and Eglinton,M4S 1S5,10,2.5,ON
1420,400 Spadina Avenue,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",Og37JqBjJDpFb6oIscyrtg,"Donuts, Coffee & Tea, Food",Toronto,"{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '8:0-20:0'}",1,43.6558643159,-79.3994606115,Krispy Kreme Cafe,Chinatown,M5T 2G7,23,4.5,ON
1656,2877 Lakeshore Boulevard W,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': True, 'lot': False, 'valet': False}"", 'CoatCheck': 'False', 'GoodForDancing': 'True', 'GoodForKids': 'False', 'HappyHour': 'False', 'HasTV': 'False', 'Music': ""{'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': True, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'loud', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'Smoking': 'outdoor', 'WheelchairAccessible': 'False'}",vDretNqzo-0yqQkV5wOvbg,"Nightlife, Bars, Lounges, Food, Event Planning & Services, Real Estate, Shared Office Spaces, Arts & Entertainment, Home Services, Coffee & Tea, Music Venues, Venues & Event Spaces",Toronto,"{'Wednesday': '20:0-2:0', 'Thursday': '20:0-2:0', 'Friday': '20:0-2:0', 'Saturday': '20:0-2:0', 'Sunday': '20:0-2:0'}",1,43.6010168,-79.5034124,Placebo Space,New Toronto,M8V 1J1,8,5.0,ON
1808,2130A Queen St E,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",XESfvE2Yd7ZzjKNAJ4R_Ow,"Coffee & Tea, Food",Toronto,"{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '8:0-22:0'}",0,43.6713973,-79.2940969,Prana Coffee,The Beach,M4E 1E3,4,4.0,ON
1925,179 College St,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",skjXX8qzEMeZ5Jgj6SpxoQ,"Food, Coffee & Tea",Toronto,"{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}",1,43.6588291,-79.3941293,The Second Cup,Downtown Core,M5T 1P7,11,3.5,ON
1934,145 Augusta Avenue,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'ByAppointmentOnly': 'False', 'Caters': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'False', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'False', 'WheelchairAccessible': 'False', 'WiFi': 'free'}",Y8heNCqlpiUVxpXxcstq8Q,"Jewelry, Arts & Crafts, Alternative Medicine, Shopping, Food, Restaurants, Health & Medical, Coffee & Tea, Active Life, Meditation Centers, Cafes, Fitness & Instruction",Toronto,"{'Monday': '12:0-18:0', 'Tuesday': '12:0-18:0', 'Wednesday': '12:0-18:0', 'Thursday': '12:0-18:0', 'Friday': '12:0-18:0', 'Saturday': '11:0-18:0', 'Sunday': '11:0-18:0'}",1,43.6525113857,-79.4010374871,House Of Energy,Kensington Market,M5L 2L4,7,4.5,ON
1997,1917 Queen Street East,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'DogsAllowed': 'False', 'HasTV': 'False', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'False', 'WiFi': 'free'}",bB9JPvR2d-I1jxSVlqN2DQ,"Coffee & Tea, Restaurants, Cafes, Sandwiches, Ice Cream & Frozen Yogurt, Food",Toronto,"{'Monday': '7:30-20:30', 'Tuesday': '7:30-20:30', 'Wednesday': '7:30-20:30', 'Thursday': '7:30-20:30', 'Friday': '7:30-21:0', 'Saturday': '8:0-21:0', 'Sunday': '9:0-20:0'}",1,43.6689076,-79.304192,Yum Croissant,The Beach,M4L 1H3,3,4.5,ON
2150,615A Brock Avenue,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",pPO_UXvffah1uKhMlo9LBw,"Restaurants, Cafes, Food, Coffee & Tea",Toronto,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-19:0'}",0,43.6594566588,-79.4387515696,Haven Espresso Bar,Bloordale Village,M6H 1T5,27,4.0,ON
