,business_id,date,review_id,stars,user_id
66,pDKITbL0no7HPHFodv9jTQ,2017-11-05,nzdrfYMfd1DrPvv54WeWgQ,4,2dZjPtHGkxYW1-XhRgs3zw
211,1vqFEbZ4xUsHAbiHmPzuhw,2017-09-28,ASOngeNYDkjXzvUjswTMNQ,5,GPfteXVEeyOB6Jyd552Iew
276,mjex91FZ2b5Khh4YDK4-9g,2017-12-28,51urVps2lcJ-qhbzIxw4JQ,5,gJ6iIcLnwKOkBHcCeJYeLw
340,2IKkooPTSW4YdrdptyBKbg,2017-02-09,bWNcNPTa_vE-50ZT77UbCQ,5,lOgAPUhluhodv5eMD_MRRw
350,pks_z0EXHrxouKLKaMq1gw,2017-04-13,-nk41W1iIdmsgf-BY-g17g,1,U8tqYI-gQXp5QBx-EL9xsg
383,GHUHWAaVjKDn74r50EKKMA,2017-08-14,eOihcDP1KhMA2XCW7P9mfg,4,4bRDMA-67JfE6QHU44rXyw
386,qy4WKXTBkqD4zX0rohYF8Q,2017-03-26,Y6RlcJy-xpt7o-LjMZ1eoQ,5,QoDP81Xnvcl_EQ_Lut2AXA
474,gtcsOodbmk4E0TulYHnlHA,2017-12-12,L6nPUsCg2P7_tURVq4oJ1g,5,I0eaaSzalrXbv0dYE02bLQ
524,HkPnai4LMRjAYZkZ2AQLkA,2017-07-25,y2IDkh3bSYVGMqw0RT4orQ,5,VDGMV7aLaUm3dGlv3tKnBg
707,5iawpo9MaMaMcqtQxxbfqQ,2017-06-14,a2Wc1WSLlxT3in9zIQwP-A,5,2Ie_l5I2R2xYvfYXMxRMsw
807,NLaK58WvlNQdUunSIkt-jA,2017-12-04,PkN-2WIe7YSzS7Q0kZt-Ag,5,iYQB7Ds8m9jYTdmeeytqhw
840,Sv2fI4_zRk1a9uHQdh9B4g,2017-01-14,pce0CHD79BQaUUjXXWMLfw,5,nN2ri84c_mV3J0nVESLg8A
902,kw8Lh8bJAtquHkT9CB4zGg,2017-07-15,rN1aRp6yFQy4-SdGE32lSw,5,dZP4U91a2CyPDl4gfy5DQg
969,ciHtNE7zKzr25IX_L6pNSQ,2017-09-08,ptOn56GXPTfZiFhBw0Qi3A,5,-fZuE7UeMant6bWkoPLrCQ
1246,DAfWBoWNe_B5_lJAfYH5KQ,2017-02-17,9q4aHQkwPMUlcyzUtvn-Hw,5,NQRAYXsjEo4Vv0ekNWvwVQ
1305,eMG6CIt8WzZp8WIJ9LWsQg,2017-01-10,ZxkCfC_spJa7Knf4M-1log,4,DeFSgz-qnsIgZj4NhUfuvQ
1414,ZDDzKXN_JXe7694zePRuTQ,2017-01-26,o4vGWp2D_e8B1-EEM4HttA,1,ki8xobsnb9TBoj9ouydgWQ
1581,p1ohbPwI1QfjHQ2zRup5OA,2017-07-23,UJH8_1DiVmRr4NOCzpPNUA,4,IP5TabBSUsW0pdUZpV-p4A
1776,QR2-0qgjHZVVnPY6Txlgtg,2017-07-06,iS6-pt3r9_jPGIMWT-RMlg,5,14YnvoXaFaFtz_eLKBKOOg
2217,HkHTdTvzbn-bmeQv_-2u0Q,2017-07-05,sUZpB8UrBR92zkPyRHGTWg,5,UEY8l4Jc8wv6W4jAW5Y-iA
2389,IQ3esF7MvIOCbeVetW51Ng,2017-01-22,1SsdFwOIL3C76cxsorZ4uw,2,pHCo2UsIOgcIdHmJ4XfREw
2446,xBkivY-RacJHXX6y0-91GA,2017-07-05,Bm-TkfX8t3zXAqW6ZDnykA,4,Cp-tI67h3TEav9TLX5KW5w
2709,l1SGwoX-qkd17XUNkrvskQ,2017-10-26,tM-VnERY9ZS0od_GJB4qbw,2,b67L7RrUtftAeE_F3WIqkA
2712,4_EgrMY-EI-i-xyWixI2qg,2017-09-01,QqM74ZNtleWe27Skub9U_g,2,b67L7RrUtftAeE_F3WIqkA
2713,Xhf3nW6UahoVpRMkVUlnJA,2017-10-26,s7KprKgT78x42eDixiYndg,4,b67L7RrUtftAeE_F3WIqkA
2747,OBPiT9OyFDaTfaLRwfqlSg,2017-11-03,U0a58jfVq37qL-bdiT5frQ,4,lKLyl2QQt5eITsUdAb_54Q
2759,l1SGwoX-qkd17XUNkrvskQ,2017-04-09,gESnyht2TP5vCMF8pP-XCw,1,CkfG21CK9VGEbd_Rq9xv5Q
2871,wcpS12gLfPz-z11BVhL6jQ,2017-07-16,PwFqkwXQGh2Bh3mTh4pEhA,5,_idLeIy-l-T8ES4h_t93bg
2879,0sPOBQHlVvuhO1h-1p1ccQ,2017-07-02,mD9aaC9BChp-ht0NCRGLHQ,2,PBXMWGnnhQplpaHke1VElg
2880,zdGk7xTyf_uEgDAyIzAJkQ,2017-10-15,ZOI-6YK1ZDt2nqkF034FeQ,4,PBXMWGnnhQplpaHke1VElg
2885,8XVAcOZ02IGTQE-pvKhXXw,2017-05-22,RVknp91WpQYrimJEtddukQ,4,PBXMWGnnhQplpaHke1VElg
2887,5FVTSx9CIzvA3i3AOVaj8g,2017-06-15,NVIaiMxJN2V-nlVQyrD1Hw,4,PBXMWGnnhQplpaHke1VElg
3013,YfsaoWDTBKpR09Q90Kw_yA,2017-09-23,UEiRP7iqS0nicsGTcwN0IA,5,0Mfs3RDXYtuBnJ1RHWqeAA
3089,b9Ctxco-1HyjE55W_28MYA,2017-01-11,6vPs0eUl7ZzWb-h3gY_Xcg,4,Dyf3sfLoQc3RBqx7M40xwg
3118,Gh5zgKz5I5aE0qbpP1T9QA,2017-02-17,bwL36Vzv8EE6viUp1Cmx_g,4,s_34vECKLQT_kITGknsuLw
3136,5JjlWFANEQ7ztxwzkdby0A,2017-05-06,wZEShitbc_wrNDYy4vOBEA,1,zpBXXDDhVDjZs3gA4yWQLg
3147,52R7FGPqbuV6FIV2BDYPTA,2017-04-03,fv90xHG6youZbKEdeVJQew,4,F3Z3-9qc438XQdUb7F4PNA
3215,N_2yEZ41g9zDW_gWArFiHw,2017-07-16,grzCyO9YlwgfcMGAiQhmqQ,2,BJNPWvUc8FcMn1Q7i8nnzQ
3217,UibLK2TXbSljTkpZpZ-8Lw,2017-09-10,_HS5ohh_rYNuC1eqt9JTaQ,3,BJNPWvUc8FcMn1Q7i8nnzQ
3218,MFgcXs8uHFXdSjcgldMx1Q,2017-12-19,7AwHZFkkxgdb73yE8KzoTA,5,BJNPWvUc8FcMn1Q7i8nnzQ
3249,g0yeRwvJmdd-XrH9lye0ww,2017-08-03,2uAON3B8Jg8iD0KxiiF0QQ,5,v4p0ee8exTqU636X1WlibQ
3321,bbSb-uviEUNlCw1bitAmQg,2017-01-29,CsXc1MoP-4CbofwN1Tu8CQ,2,H6lRopySbB-chtcuvun-1w
3465,N_2yEZ41g9zDW_gWArFiHw,2017-05-22,CQpCjWslqnJ-3UaSj4sg2g,2,OkpQr4LcM7ydH6fwxdWVWw
3474,Sv2fI4_zRk1a9uHQdh9B4g,2017-05-25,dJjnVDnez5KqJ_i5_GhDhg,5,Ha2_D1mbdAnAZpKIW-1CKA
3589,cQK9M2JAwETQnnBoYyua5A,2017-08-14,06Xj8zp9MEVpR4KGXCpezg,5,QFTT-3eZJUV36U9ut-iFOg
3776,ECPWFe93D_VWHfsnkVBydg,2017-01-10,-M5D5HDD66s2p-fLaLX2HQ,5,m1FgpwFph9zI3jUIZhll3A
3874,N_2yEZ41g9zDW_gWArFiHw,2017-07-01,6PVuo16IH2nfVwNeQ5O8mA,3,U1lyAwrs67vnAogjzOyu6A
3941,XdY36-Qh_DxnCaFpTPfYMg,2017-03-28,AMxt9VyJoC36OX1kx7LS-w,5,K5BMSEbMZIpTuMOsPph1dA
4296,cWPTOM_o5toaXpq0gNxD7Q,2017-06-14,vdzPffTg8IGcCSCF5yBKaQ,4,tSbOUNyNdX_S0iI2NzDX1Q
4364,BY0o4pOtNPKyTklTFXDJpg,2017-08-01,7NZGCeGv2MzlWJ6jUVUrBg,2,4EPqn-YAjGLyNfWa1N4XnA
4368,cWPTOM_o5toaXpq0gNxD7Q,2017-06-04,oFghXu1A43yiKLc6c8bs4Q,5,dhEzOqpzc2jZc44gcwefmQ
4434,He_4k_w_8bjWnoepahS2zw,2017-03-27,L1c0lPAL5VR4KG-nQ0aV9w,1,YHjPfmvexlFxNFGtPl0eJQ
4810,w3P07vQtizAE1bdodMnoSA,2017-12-14,elS0kyApxfTXB4SKa4VVGw,4,W76KFcsXAH_aR1nflj1t4Q
4836,TgcjQfl1E9DE-SjDVOUDJQ,2017-02-09,nooIqq9NNZ-vDtnJoFBImQ,1,wOBoa_KXpLcTLToXeWpSgw
5047,e-khOwCeoG5h_earJu9aVA,2017-09-17,4CCVWDDJgUyqWi9dgfBHww,5,TQaRkgnNsrMsXWuPtnzmkw
5150,5B8dlAoL59SjTft330E9cw,2017-06-06,RtOD2Gn6rARPCbWFNbf7ng,5,OlL-dgBKcFKIWjratYqQmg
5781,hf-bDGKfoM4lyxrlpN92wg,2017-02-12,WqbXjAiNjsMAjb3VTEFerg,4,UV3gi8WHRKtI-VNGF8--zQ
5883,O9O0tmaFq4_n4jEENEc1NQ,2017-01-05,Ji1YqcPIJ3bSs3IeNUeV6w,5,96Cj3uWznOPZhyU1KgQElg
5892,z1jWE9gO4ehWJESM_H7zpA,2017-06-25,0HYVs023j4v4i3auefNgPQ,5,Nu37vxm8ZSlqNzNhQm71Vw
5994,PwcZPVAxhnG-MPPpH3BsYQ,2017-06-16,0PTrkUdtg41jPpYfDSRHwA,5,LQB0BrkbeEgxrrOSbE97PQ
6350,DAlt5SHDisz8rXuPqa3BJQ,2017-01-05,duHvIyIdZyuFvJj-PLe0rg,4,xWdA3cz6pif7hWlYe_99Ag
6388,k8vdpo7cRgg4CtRcxYEfrw,2017-08-19,HtlPgfrUAwAUFMfVGc8Q1g,5,8V9f8XTxw7Dfc3bc8qt1tg
6529,1vqFEbZ4xUsHAbiHmPzuhw,2017-09-23,NUY3hYnrOEtOokvs4tNg5g,5,AWUMpeMqkS535VesLmRKHg
6530,tuUX96eC3SBnNKNO7l6rew,2017-06-06,S5cwdkXyvPJM1KvqZEBp2g,1,AWUMpeMqkS535VesLmRKHg
6531,Db7rYJ8iDo-oE1Ich5Vxdw,2017-04-01,fpGM_9ShHCI4JAR5rIFjUA,5,AWUMpeMqkS535VesLmRKHg
6710,-UBoEaluaCReqxLRiAxVPg,2017-07-18,c01CnE4E0BO9Srrkgi_bwg,2,S1fuwO05aNEyx4XVpGx_eQ
6976,QNdNPr3f-WdESYo9WabWpw,2017-04-12,kcXl2hxnH5ZcIQakwMwEQQ,4,FWQVtccfiH4wOBW8_w9c6w
6988,ZUZZEQ61ZD826C65SZLAQQ,2017-12-02,Hid5j5EQJe_FUCDd7mTPMw,5,uxWyuMaCxwNM5VbddkbMiw
6989,Q7rrhu3FJxTASTo46pT9vA,2017-12-02,4UudoBVVVScZWMakaPjdFw,4,uxWyuMaCxwNM5VbddkbMiw
6990,8XVAcOZ02IGTQE-pvKhXXw,2017-12-02,KFxcoYMHQOb5WkbFxiKFEg,4,uxWyuMaCxwNM5VbddkbMiw
6991,Xhf3nW6UahoVpRMkVUlnJA,2017-12-02,PX5sV1xmGdMloQmMSrswOg,5,uxWyuMaCxwNM5VbddkbMiw
7238,D7nZVc4tm6_-6X6dYBiaHg,2017-05-17,3lM7qgCRaGcR7Zzm7_xG9w,2,BCKP1gj6vW6QfRQcl4TIBQ
7606,cg_1Z2S9KDfOSfuEKckYJA,2017-10-05,wofFE-BhlaOFvvfQ25dfww,4,Tdtd_qBVouUfMN1NgJbE5g
7803,hm0y7QxT-UUmQcF074qV0g,2017-05-04,t2tFGIq_WAGNZ5QSsKKGnQ,2,LCegg83qjZhln64hDi4tHw
7814,fE-dFRyFWP4ZiijhCEMxIg,2017-02-04,51a_HaOfbD8xjqrBmcailA,4,j7HHTCB94ldwjgo8ka3YyQ
8141,4gCyDvrUAGGHgb55Zjsh3g,2017-08-29,dnwgvigYdpB9Wfx-FPJXhA,5,Hwz-EhpzkEw15zaJurBrWA
8403,4gCyDvrUAGGHgb55Zjsh3g,2017-11-13,EwsEkO7AHSwotc4L0tTE7A,4,Lf3GPQjl6aM0sZxkKKxD0w
8421,tuUX96eC3SBnNKNO7l6rew,2017-07-12,ivxVLJSbQD7rhc-B91DYEw,5,gYZlUv_VmsXrcjaTiDAHSQ
8654,8fOclthOuxV9JXGbgpacKA,2017-05-16,okHW8xB2lm3GvbRbYMFaWQ,5,ShocF89J5vaQd-XskuB2FA
8667,FBd6q_qzEFixvhV3KdzvJw,2017-05-07,2gD112T3LIaOUt0qZXoYYw,3,SFD51aNIiVeqY3mbDlhC4A
8676,0sPOBQHlVvuhO1h-1p1ccQ,2017-09-05,HobgvJSzWw0jG9KXBf_WTw,1,6jo4Ecjl3JfFsJkdh49F3Q
8722,R3kb47nmj39ihivxq-P5Vw,2017-10-23,3473TsDVmOu6yKfec5Bzig,1,7H6llvl7Zo16Gx1MlLESYg
8792,IeYyjnWo3eT2cVIudqFV4A,2017-09-11,hkF2R-ujRaFQVZz_Y0HYIw,2,xsBO5hQn9JomZ3qQxucXkQ
8798,N_2yEZ41g9zDW_gWArFiHw,2017-04-20,nkyJzo3tS2F5hP4Vlh4ScA,5,9vVMLC9c2MMDAvJsu3izwA
8817,Me7-yOkG9MDBQN1QNmiXmw,2017-02-06,EegOgqQC80o7-maEptuQyQ,5,Jq4zBE23tTSqk2j2aUXM0A
