,average_stars,elite,name,review_count,useful,user_id,yelping_since
2349,3.0,None,Win,6,1,Cp-tI67h3TEav9TLX5KW5w,2017-01-26
2486,4.25,None,Krysti,4,0,wRgulBLN5BkM6sYylZA1sA,2017-07-31
3543,5.0,None,John,2,0,v4p0ee8exTqU636X1WlibQ,2016-05-30
3619,4.75,None,Eric,4,0,e0YJpTM1JElNmJesv_8J8A,2014-02-17
3633,5.0,None,Katherine,8,0,Ha2_D1mbdAnAZpKIW-1CKA,2017-05-07
3642,4.63,None,Kary,8,0,LQB0BrkbeEgxrrOSbE97PQ,2015-12-31
4014,5.0,None,Peter,3,11,TQaRkgnNsrMsXWuPtnzmkw,2014-06-18
4018,5.0,None,Sheba,6,13,F9egqkCDuI8iQ6IlE4tJHg,2015-04-10
4520,5.0,None,Nick,1,1,Nu37vxm8ZSlqNzNhQm71Vw,2016-05-21
5270,5.0,None,Veerta,1,0,dZP4U91a2CyPDl4gfy5DQg,2016-09-04
5329,4.5,None,Kian,2,1,W76KFcsXAH_aR1nflj1t4Q,2015-10-27
5813,5.0,None,Ed,1,0,lvXRTQPhx-mQGorFZcJv-Q,2015-03-26
6098,1.29,None,M,6,0,zpBXXDDhVDjZs3gA4yWQLg,2014-03-03
6132,4.0,None,Windy,4,0,dhEzOqpzc2jZc44gcwefmQ,2015-06-29
6569,3.17,None,Victoria,6,0,IP5TabBSUsW0pdUZpV-p4A,2015-12-24
6672,1.47,None,Nac,17,0,OhLdhhiJZbTZKmsoSST1mA,2016-10-28
7063,3.67,None,Erin,26,1,U1lyAwrs67vnAogjzOyu6A,2014-12-18
7139,3.5700000000000003,None,Jason,7,0,OkpQr4LcM7ydH6fwxdWVWw,2017-05-17
8658,4.09,None,Jenn,11,15,xWdA3cz6pif7hWlYe_99Ag,2010-12-01
8668,3.5,None,Jocelyn,12,5,iJAbBnfWdvFwrQ2LaScNNg,2013-09-04
8757,4.27,None,Tia,11,0,LCegg83qjZhln64hDi4tHw,2011-12-05
9021,4.0,None,Vineet,3,3,S1fuwO05aNEyx4XVpGx_eQ,2012-05-17
11184,3.0,None,M,2,0,KT9mArvZ4Js52je_GhZBhQ,2017-08-20
11277,3.96,None,Chris,25,8,b67L7RrUtftAeE_F3WIqkA,2009-08-28
11302,3.94,None,Cesar,16,5,QFTT-3eZJUV36U9ut-iFOg,2014-03-28
11532,4.57,None,Melissa,7,0,F3Z3-9qc438XQdUb7F4PNA,2013-09-04
11824,3.96,None,Adam,23,34,14YnvoXaFaFtz_eLKBKOOg,2016-11-29
12435,3.44,"2010, 2011",Jenn,54,8,K5BMSEbMZIpTuMOsPph1dA,2009-06-25
12800,4.13,None,Timothy,8,0,tSbOUNyNdX_S0iI2NzDX1Q,2014-06-09
12861,3.9,None,S,20,75,nN2ri84c_mV3J0nVESLg8A,2011-06-01
13555,4.55,None,Miriam,11,2,-fZuE7UeMant6bWkoPLrCQ,2013-03-18
13877,3.0,None,Julian,5,1,2dZjPtHGkxYW1-XhRgs3zw,2013-04-18
14820,2.33,None,Arielle,3,0,HN3Z6WxKnLHafHlaER1EkQ,2017-01-04
14849,3.59,2017,Derek,31,11,Tdtd_qBVouUfMN1NgJbE5g,2013-06-10
15550,4.12,None,Tara,24,2,FWQVtccfiH4wOBW8_w9c6w,2012-10-07
16945,3.0,None,Kenneth,22,6,4EPqn-YAjGLyNfWa1N4XnA,2010-03-21
18938,1.0,None,Simon,1,0,wOBoa_KXpLcTLToXeWpSgw,2009-09-02
19055,1.5,None,Xiao,2,1,YHjPfmvexlFxNFGtPl0eJQ,2014-08-03
20024,4.8,None,B,5,1,4bRDMA-67JfE6QHU44rXyw,2015-09-30
20045,4.17,None,E,18,1,iYQB7Ds8m9jYTdmeeytqhw,2013-11-03
20134,3.33,None,Sura,64,182,Xy6M5UCMWOjobsVV48UdJQ,2012-08-05
20567,3.75,None,Jeffrey,4,1,Dyf3sfLoQc3RBqx7M40xwg,2017-01-10
20859,3.5,None,Ron,2,0,IOMbHlDMeUA_CgywPM5mnA,2012-04-05
21296,5.0,None,Mikayla,4,0,NQRAYXsjEo4Vv0ekNWvwVQ,2015-09-10
22557,4.6,None,Jose,5,0,96Cj3uWznOPZhyU1KgQElg,2016-05-14
23621,5.0,None,Dan,1,0,GPfteXVEeyOB6Jyd552Iew,2012-12-09
23996,3.36,None,Gillian,10,0,SFD51aNIiVeqY3mbDlhC4A,2013-03-10
24770,1.69,None,Karolina,25,0,BCKP1gj6vW6QfRQcl4TIBQ,2013-09-20
25696,3.18,None,Lindsey,17,0,pHCo2UsIOgcIdHmJ4XfREw,2011-07-28
25922,3.0,None,Chow,1,4,6jo4Ecjl3JfFsJkdh49F3Q,2016-06-26
26272,4.57,None,Kevin,13,6,u04pbgaUuqqy0UnMI05p8A,2011-01-27
26508,4.0,None,Jennifer,8,0,UEY8l4Jc8wv6W4jAW5Y-iA,2016-01-15
27412,3.0,None,Isabella,2,0,Hwz-EhpzkEw15zaJurBrWA,2013-08-01
27831,3.2,None,R,5,1,gJ6iIcLnwKOkBHcCeJYeLw,2016-01-07
27926,3.0,None,Amelia,6,0,AWUMpeMqkS535VesLmRKHg,2014-01-03
28238,3.33,None,Shogun,3,0,5p9BQ_RYjYIHcp7WJUDLug,2014-09-30
28293,3.23,None,Flo,13,0,JW_w3IPPU_lnurA1TEF1Dg,2017-04-09
29067,3.67,None,Ashley,3,0,5IDStuxulcMAid2BLU4L_g,2017-06-04
29411,4.38,None,Ellen,8,0,uxWyuMaCxwNM5VbddkbMiw,2017-01-18
29803,4.25,None,Jane,4,0,0dQfBVSMaL7gDJxFk61gTA,2016-09-02
29936,3.2800000000000002,None,Kat,18,1,H6lRopySbB-chtcuvun-1w,2015-07-27
30296,4.0,None,Mandy,3,0,xsBO5hQn9JomZ3qQxucXkQ,2016-01-10
30380,5.0,None,Jason,1,0,Q7-1v-6leZQmLaHmFyKZIA,2013-03-23
30888,3.67,None,A,3,0,_idLeIy-l-T8ES4h_t93bg,2012-10-17
31827,5.0,None,Adri,2,5,QoDP81Xnvcl_EQ_Lut2AXA,2015-08-18
31867,4.25,None,John,12,4,lOgAPUhluhodv5eMD_MRRw,2013-07-26
31898,3.56,None,Phillip,16,2,U8tqYI-gQXp5QBx-EL9xsg,2015-10-17
32511,4.22,None,Nadia,120,6,gYZlUv_VmsXrcjaTiDAHSQ,2015-02-23
32837,3.83,"2016, 2017",Teresa,45,78,k6AsmDEHp8cmc8Xy2wp0mQ,2010-12-07
33451,4.5,None,Amanda,6,0,Lf3GPQjl6aM0sZxkKKxD0w,2014-06-22
34239,4.05,None,Brendan,20,3,0Mfs3RDXYtuBnJ1RHWqeAA,2011-11-13
34981,4.67,None,Austin,3,0,9vVMLC9c2MMDAvJsu3izwA,2016-06-24
35428,5.0,None,K,1,0,_nPWEOuHyjFo37Uze1HwTw,2017-02-12
36950,5.0,None,Rachel,1,0,8V9f8XTxw7Dfc3bc8qt1tg,2017-08-19
37297,4.13,None,Sophie,15,1,BJNPWvUc8FcMn1Q7i8nnzQ,2016-01-05
37702,4.64,None,Britt,11,0,ShocF89J5vaQd-XskuB2FA,2015-06-09
38666,3.55,None,Melissa,25,3,Jq4zBE23tTSqk2j2aUXM0A,2015-11-21
38798,5.0,None,Cinntha,3,0,I0eaaSzalrXbv0dYE02bLQ,2017-01-29
40161,1.0,None,Yz,1,0,CkfG21CK9VGEbd_Rq9xv5Q,2017-04-09
40185,3.89,None,D,9,0,2Ie_l5I2R2xYvfYXMxRMsw,2017-05-27
