,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state,ev
0,9A2quhZLyWk0akUetBd8hQ,toronto,43.6643776,-79.4144238,Bnc Cake House,M6G 1K8,7,4.0,ON,0.0021706353826360983
1,tZnSodhPwNr4bzrwJ1CSbw,toronto,43.664124900000004,-79.41188609999998,Southern Accent Restaurant,M6G 2L7,146,4.0,ON,0.013559344307688405
2,5J3b7j3Fzo9ISjChmoUoUA,toronto,43.6813277,-79.4278838,Mabel's Bakery,M6C 1B5,23,4.0,ON,0.0013860026323702654
3,PMDlKLd0Mxj0ngCpuUmE5Q,toronto,43.6708846,-79.39237879999997,The Coffee Mill Restaurant,M5R 3K5,25,3.5,ON,0.002030809156318521
4,YIez_A3WOt9J2SXN7OMa2Q,toronto,43.7459284,-79.3246225,Allwyn's Bakery,M3A 1K8,105,4.0,ON,0.005255930965514281
5,xuUzASHWjRJRFv6Ck5pO7g,toronto,43.6499721,-79.3832232,Fornetti,M5H 3V1,3,3.5,ON,0.0004999087048495786
6,mr3rQcYBKWu2L6o7qtQ9Wg,toronto,43.6691157,-79.42602109999999,Hub Coffee House & Locavorium,M6G 3N2,31,4.0,ON,0.004120505421762534
7,Q_cfbLdAxkLiEZW5TO5T6A,toronto,43.595149400000004,-79.5299771,More Than Pies Baking,M8W 1N2,9,4.0,ON,0.0002224034179949704
8,cuXCQM-9VwpZlSneEY1b3w,toronto,43.708002,-79.375814,Indian Street Food Company,M4G 3C1,51,3.5,ON,0.0038754462884981323
9,hsWx7ya8jLMhi8ZWX23Thg,toronto,43.7069830501,-79.39649882020001,Harvey's Restaurants,M4P 1G6,5,2.0,ON,0.00016261962738649112
10,DcyeRzICLrMkrPpJDzjQ6Q,toronto,43.67416392649999,-79.2873923228,Honey's Beestro,M4E 1H5,6,2.0,ON,3.975005067131672e-05
11,i2Fd0dl39BZ8nVxBnSPsKg,toronto,43.6910854,-79.5755866,Anchor Bar,M9W 1J1,38,3.0,ON,0.000922673498085939
