,WikiPageName,Party,State,congress_number
0,John_Dingell,Democratic,Michigan,113
1,John_Conyers,Democratic,Michigan,113
2,Charles_Rangel,Democratic,New York,113
3,Bill_Young,Republican,Florida,113
4,Don_Young,Republican,Alaska,113
5,George_Miller_(California_politician),Democratic,California,113
6,Henry_Waxman,Democratic,California,113
7,Ed_Markey,Democratic,Massachusetts,113
8,Nick_Rahall,Democratic,West Virginia,113
9,Jim_Sensenbrenner,Republican,Wisconsin,113
10,Tom_Petri,Republican,Wisconsin,113
11,Ralph_Hall,Republican,Texas,113
12,Hal_Rogers,Republican,Kentucky,113
13,Chris_Smith_(New_Jersey_politician),Republican,New Jersey,113
14,Frank_Wolf_(politician),Republican,Virginia,113
15,Steny_Hoyer,Democratic,Maryland,113
16,Marcy_Kaptur,Democratic,Ohio,113
17,Sander_Levin,Democratic,Michigan,113
18,Joe_Barton,Republican,Texas,113
19,Howard_Coble,Republican,North Carolina,113
20,Pete_Visclosky,Democratic,Indiana,113
21,Peter_DeFazio,Democratic,Oregon,113
22,John_Lewis_(civil_rights_leader),Democratic,Georgia,113
23,Louise_Slaughter,Democratic,New York,113
24,Lamar_Smith,Republican,Texas,113
25,Fred_Upton,Republican,Michigan,113
26,Nancy_Pelosi,Democratic,California,113
27,Frank_Pallone,Democratic,New Jersey,113
28,Jimmy_Duncan_(politician),Republican,Tennessee,113
29,Eliot_Engel,Democratic,New York,113
30,Nita_Lowey,Democratic,New York,113
31,Jim_McDermott,Democratic,Washington,113
32,Richard_Neal,Democratic,Massachusetts,113
33,Dana_Rohrabacher,Republican,California,113
34,Ileana_Ros-Lehtinen,Republican,Florida,113
35,José_E._Serrano,Democratic,New York,113
36,Rob_Andrews,Democratic,New Jersey,113
37,David_Price_(American_politician),Democratic,North Carolina,113
38,John_Boehner,Republican,Ohio,113
39,Dave_Camp,Republican,Michigan,113
40,Rosa_DeLauro,Democratic,Connecticut,113
41,Jim_Moran,Democratic,Virginia,113
42,Collin_Peterson,Democratic,Minnesota,113
43,Maxine_Waters,Democratic,California,113
44,Sam_Johnson,Republican,Texas,113
45,Ed_Pastor,Democratic,Arizona,113
46,Jerrold_Nadler,Democratic,New York,113
47,Jim_Cooper,Democratic,Tennessee,113
48,Spencer_Bachus,Republican,Alabama,113
49,Xavier_Becerra,Democratic,California,113
50,Sanford_Bishop,Democratic,Georgia,113
51,Corrine_Brown,Democratic,Florida,113
52,Ken_Calvert,Republican,California,113
53,Jim_Clyburn,Democratic,South Carolina,113
54,Anna_Eshoo,Democratic,California,113
55,Bob_Goodlatte,Republican,Virginia,113
56,Gene_Green,Democratic,Texas,113
57,Luis_Gutiérrez,Democratic,Illinois,113
58,Alcee_Hastings,Democratic,Florida,113
59,Eddie_Bernice_Johnson,Democratic,Texas,113
60,Peter_T._King,Republican,New York,113
61,Jack_Kingston,Republican,Georgia,113
62,Carolyn_Maloney,Democratic,New York,113
63,Buck_McKeon,Republican,California,113
64,John_Mica,Republican,Florida,113
65,Lucille_Roybal-Allard,Democratic,California,113
66,Ed_Royce,Republican,California,113
67,Bobby_Rush,Democratic,Illinois,113
68,Bobby_Scott_(politician),Democratic,Virginia,113
69,Nydia_Velázquez,Democratic,New York,113
70,Mel_Watt,Democratic,North Carolina,113
71,Bennie_Thompson,Democratic,Mississippi,113
72,Sam_Farr,Democratic,California,113
73,Frank_Lucas_(Oklahoma_politician),Republican,Oklahoma,113
74,Lloyd_Doggett,Democratic,Texas,113
75,Michael_F._Doyle,Democratic,Pennsylvania,113
76,Chaka_Fattah,Democratic,Pennsylvania,113
77,Rodney_Frelinghuysen,Republican,New Jersey,113
78,Doc_Hastings,Republican,Washington,113
79,Sheila_Jackson_Lee,Democratic,Texas,113
80,Walter_B._Jones_Jr.,Republican,North Carolina,113
81,Tom_Latham_(politician),Republican,Iowa,113
82,Frank_LoBiondo,Republican,New Jersey,113
83,Zoe_Lofgren,Democratic,California,113
84,Mac_Thornberry,Republican,Texas,113
85,Ed_Whitfield,Republican,Kentucky,113
86,Elijah_Cummings,Democratic,Maryland,113
87,Earl_Blumenauer,Democratic,Oregon,113
88,Jo_Ann_Emerson,Republican,Missouri,113
89,Robert_Aderholt,Republican,Alabama,113
90,Kevin_Brady,Republican,Texas,113
91,Danny_K._Davis,Democratic,Illinois,113
92,Diana_DeGette,Democratic,Colorado,113
93,Kay_Granger,Republican,Texas,113
94,Rubén_Hinojosa,Democratic,Texas,113
95,Ron_Kind,Democratic,Wisconsin,113
96,Carolyn_McCarthy,Democratic,New York,113
97,Jim_McGovern_(American_politician),Democratic,Massachusetts,113
98,Mike_McIntyre,Democratic,North Carolina,113
99,Bill_Pascrell,Democratic,New Jersey,113
100,Joe_Pitts,Republican,Pennsylvania,113
101,Loretta_Sanchez,Democratic,California,113
102,Pete_Sessions,Republican,Texas,113
103,Brad_Sherman,Democratic,California,113
104,John_Shimkus,Republican,Illinois,113
105,Adam_Smith_(politician),Democratic,Washington,113
106,John_F._Tierney,Democratic,Massachusetts,113
107,Gregory_Meeks,Democratic,New York,113
108,Lois_Capps,Democratic,California,113
109,Barbara_Lee,Democratic,California,113
110,Bob_Brady,Democratic,Pennsylvania,113
111,Steve_Chabot,Republican,Ohio,113
112,Mike_Capuano,Democratic,Massachusetts,113
113,Joe_Crowley,Democratic,New York,113
114,Rush_Holt_Jr.,Democratic,New Jersey,113
115,John_B._Larson,Democratic,Connecticut,113
116,Gary_Miller,Republican,California,113
117,Grace_Napolitano,Democratic,California,113
118,Paul_Ryan,Republican,Wisconsin,113
119,Jan_Schakowsky,Democratic,Illinois,113
120,Mike_Simpson,Republican,Idaho,113
121,Lee_Terry,Republican,Nebraska,113
122,Mike_Thompson_(California_politician),Democratic,California,113
123,Greg_Walden,Republican,Oregon,113
124,Eric_Cantor,Republican,Virginia,113
125,Shelley_Moore_Capito,Republican,West Virginia,113
126,Lacy_Clay,Democratic,Missouri,113
127,Ander_Crenshaw,Republican,Florida,113
128,John_Culberson,Republican,Texas,113
129,Susan_Davis_(politician),Democratic,California,113
130,Sam_Graves,Republican,Missouri,113
131,Mike_Honda,Democratic,California,113
132,Steve_Israel,Democratic,New York,113
133,Darrell_Issa,Republican,California,113
134,James_Langevin,Democratic,Rhode Island,113
135,Rick_Larsen,Democratic,Washington,113
136,Jim_Matheson,Democratic,Utah,113
137,Betty_McCollum,Democratic,Minnesota,113
138,Mike_Rogers_(Michigan_politician),Republican,Michigan,113
139,Adam_Schiff,Democratic,California,113
